'a'bo'cun 阿波村
'zhen'bi'jun 真壁郡
'zhen'dao'cun 姫岛村
'zhen'gang'shi 真冈市
'zhen'guang'ding 贞光町
'zhen'hu'ding 姫戸町
'zhen'lu'shi 姫路市
'zhen'qi'shi 枕崎市
'zhen'shi'chuan'ding 真室川町
'zhen'shou'cun 真狩村
'zhen'tian'ding 真田町
'zhen'xi'ding 镇西町
'zhen'ye'ding 真野町
'zhen'yu'ding 真玉町
'zhen'yuan'ding 榛原町
'zhen'zheng'ding 真正町
'zhi'bo'zhen'ding 志波姫町
'zhi'bu'zhi'ding 志布志町
'zhi'chuan'cun 直川村
'zhi'chuan'cun 蛭川村
'zhi'chuan'ding 芝川町
'zhi'dao'ding 直岛町
'zhi'duo'shi 知多市
'zhi'fang'shi 直方市
'zhi'fu'bie'ding 秩父别町
'zhi'fu'cun 知夫村
'zhi'fu'jun 秩父郡
'zhi'fu'shi 秩父市
'zhi'he'ding 志贺町
'zhi'hu'ding 置戸町
'zhi'jian'ding 只见町
'zhi'jin'chuan'ding 志津川町
'zhi'lan'ding 知覧町
'zhi'li'shi 知立市
'zhi'mian'ding 志免町
'zhi'ming'ding 知名町
'zhi'mo'ding 志摩町
'zhi'mu'ding 植木町
'zhi'mu'shi 志木市
'zhi'nei'ding 知内町
'zhi'nei'shi 稚内市
'zhi'nian'cun 知念村
'zhi'ru'ding 直入町
'zhi'su'shi 指宿市
'zhi'tian'ding 织田町
'zhi'tou'ding 智头町
'zhi'xing'ding 枝幸町
'zhi'xing'ding 栉形町
'zhi'xiong'ding 志雄町
'zhi'yin'ding 栉引町
'zhong'biao'jin'ding 中标津町
'zhong'cheng'cun 中城村
'zhong'chuan'cun 中川村
'zhong'chuan'ding 中川町
'zhong'chuan'gen'ding 中川根町
'zhong'cun'shi 中村市
'zhong'dao'cun 中岛村
'zhong'dao'ding 中岛町
'zhong'dao'ding 中道町
'zhong'dao'lu'ding 中辺路町
'zhong'ding 中町
'zhong'dun'bie'ding 中顿别町
'zhong'fu'ding 中富町
'zhong'fu'liang'ye'ding 中富良野町
'zhong'gang'ding 忠冈町
'zhong'he'cun 中和村
'zhong'jian'shi 中间市
'zhong'jin'chuan'shi 中津川市
'zhong'jin'cun 中津村
'zhong'jin'jiang'cun 中津江村
'zhong'jin'shi 中津市
'zhong'jun 中郡
'zhong'lei'cun 忠类村
'zhong'li'cun 中里村
'zhong'li'ding 中里町
'zhong'nan'ding 仲南町
'zhong'qu 中区
'zhong'shan'ding 中山町
'zhong'shi'ding 种市町
'zhong'tiao'cun 中条村
'zhong'tiao'ding 中条町
'zhong'tu'zuo'ding 中土佐町
'zhong'xian'ding 中仙町
'zhong'xiang'cun 中郷村
'zhong'xin'ding 重信町
'zhong'xin'tian'ding 中新田町
'zhong'yang'ding 中央町
'zhong'yang'qu 中央区
'zhong'ye'qu 中野区
'zhong'ye'shi 中野市
'zhong'yi'dou'ding 中伊豆町
'zhong'yuan'ding 中原町
'zhong'zha'nei'cun 中札内村
'zhong'zhi'dao'ding 中之岛町
'zhong'zhi'kou'cun 中之口村
'zhong'zhong'zi'ding 中种子町
'zhong'zhu'ding 中主町
'zhou'ben'shi 洲本市
'zhou'dong'ding 周东町
'zhou'qiao'cun 舟桥村
'zhou'xing'ding 舟形町
'zhu'bo'jun 筑波郡
'zhu'cheng'ding 筑城町
'zhu'fu'ding 竹富町
'zhu'fu'ding 诸富町
'zhu'guan'ding 筑馆町
'zhu'hou'shi 筑后市
'zhu'miao'dai'ding 猪苗代町
'zhu'ming'chuan'ding 猪名川町
'zhu'sui'ding 筑穂町
'zhu'tian'ding 住田町
'zhu'tian'shi 竹田市
'zhu'ye'ding 竹野町
'zhu'yong'cun 住用村
'zhu'yuan'shi 竹原市
'zhu'zhong'cun 诸塚村
'zhu'zhou'shi 珠洲市
'zhu'zi'ye'shi 筑紫野市
'zhuang'chuan'cun 荘川村
'zhuang'chuan'ding 庄川町
'zhuang'nei'ding 庄内町
'zhuang'pie'ding 壮瞥町
'zhuang'yuan'shi 庄原市
'zhui'fen'ding 追分町
'zhui'tian'ding 椎田町
'zhui'ye'cun 椎叶村
'zi'bo'ding 紫波町
'zi'chuan'cun 梓川村
'zi'he'xian 滋贺县
'zi'yun'si'ding 紫云寺町
'zong'ling'ding 総领町
'zong'she'shi 総社市
'zong'xiang'shi 宗像市
'zou'fang'shi 诹访市
'zu'bing'shang'jun 足柄上郡
'zu'bing'xia'jun 足柄下郡
'zu'fu'jiang'ding 祖父江町
'zu'he'tian'cun 足和田村
'zu'ji'ding 足寄町
'zu'li'qu 足立区
'zu'li'shi 足利市
'zu'zhu'ding 足助町
'zui'shang'ding 最上町
'zuo'bo'ding 佐伯町
'zuo'bo'jun 佐波郡
'zuo'bo'shi 佐伯市
'zuo'cang'shi 佐仓市
'zuo'chuan'ding 佐川町
'zuo'ding 佐町
'zuo'dong'ding 作东町
'zuo'duo'ding 佐多町
'zuo'fu'ding 佐敷町
'zuo'he'ding 佐贺町
'zuo'he'shi 佐贺市
'zuo'he'tian'ding 佐和田町
'zuo'he'wan'ding 佐贺関町
'zuo'he'xian 佐贺县
'zuo'jian'shi 座间市
'zuo'jian'wei'cun 座间味村
'zuo'jing'cun 佐井村
'zuo'jiu'ding 佐久町
'zuo'jiu'jian'ding 佐久间町
'zuo'jiu'shi 佐久市
'zuo'lv'jian'ding 佐吕间町
'zuo'mu'cun 作木村
'zuo'na'he'nei'cun 佐那河内村
'zuo'shi'bao'shi 佐世保市
'zuo'shou'cun 作手村
'zuo'tian'ding 佐田町
'zuo'tu'yuan'ding 佐土原町
'zuo'wu'ding 佐屋町
'zuo'ye'shi 佐野市
'zuo'yong'ding 佐用町
'zuo'yuan'shi 佐原市
'zuo'zhi'cun 佐治村
'zuo'zhi'ding 佐织町
